"gid","gid-2","dist"
4910,3056,"2799.410691590801"
4911,2943,"185.86858582800224"
4912,3297,"1962.113935601154"
4913,3297,"2015.8413624689326"
4914,3297,"2020.9529617175247"
4915,3297,"2011.1347539903893"
4916,3297,"1904.8618530733327"
4917,3297,"1884.5606684505647"
4918,3297,"1942.0237457691278"
4919,3139,"725.3827779863259"
4920,3297,"2005.0569096372535"
4921,3286,"153.84906310049246"
4922,3297,"1813.554386064749"
4923,3297,"1828.265545872767"
4924,3297,"1838.0204024042564"
4925,3297,"1886.5644863151178"
4926,3297,"1890.1818213392999"
4927,3297,"1902.7537378026689"
4928,3297,"1732.5758241665656"
4929,3297,"1605.7255968898314"
4930,3297,"1684.407830660952"
4931,3297,"1700.3009540145752"
4932,3297,"1743.7149679413653"
4933,3297,"1766.3233706347323"
4934,3126,"385.8990656932652"
4935,3297,"1788.1780384892431"
4936,3126,"415.8674299013043"
4937,3126,"160.60337379615382"
4938,3126,"357.80044177044516"
4939,3126,"561.7745800856327"
4940,3126,"490.58790799722124"
4941,3126,"276.44785312971374"
4942,3126,"165.4183240899223"
4943,3126,"90.6301937648836"
4944,3126,"126.72837790004357"
4945,3985,"3380.721710451629"
4946,3985,"3589.1770572277696"
4947,3985,"3375.0694764426844"
4948,3985,"3211.638728261548"
4949,3985,"4156.85122978244"
4950,3985,"3471.5246299322284"
4951,3126,"447.3186184197283"
4952,3058,"4507.0913263070015"
4953,3058,"4715.498026826173"
4954,3058,"5113.252210549269"
4955,3985,"3342.018753831502"
4956,3213,"580.9295525382637"
4957,4025,"2480.78920196907"
4958,4025,"2861.7581059789454"
4959,3851,"4264.781161084329"
4960,3851,"4275.089447606118"
4961,3126,"1357.5336713736574"
4962,3795,"2655.1364139482193"
4963,3667,"2352.9446849333467"
4964,3126,"637.2700165636812"
4965,3126,"190.0556495210627"
4966,3851,"4222.193193027539"
4967,1967,"1367.9554696676025"
4968,3832,"1227.402745790498"
4969,3832,"1136.239968241123"
4970,3729,"5135.749616200173"
4971,3729,"1533.9401883286228"
4972,2913,"2088.656970898992"
4973,4072,"2207.7367256818047"
4974,2952,"1316.622036244843"
4975,2952,"860.6261955780449"
4976,4034,"93.64280479193627"
4977,4090,"3986.4310443474833"
4978,4090,"4001.6451717763352"
4979,4090,"3737.4137982019147"
4980,3346,"143.84769196913342"
4981,4317,"1868.2282787457518"
4982,3730,"89.59427155868265"
4983,3016,"3063.1637153627207"
4984,3730,"3001.906376273266"
4985,3126,"1139.245467698613"
4986,3393,"1072.6668886378327"
4987,3022,"848.9225711255149"
4988,3616,"162.8014379316983"
4989,3773,"4916.4943594685055"
4990,3773,"4913.214904014805"
4991,3650,"1770.450523837227"
4992,4076,"2269.0394080987526"
4993,3774,"318.69083737306204"
4994,3774,"58.4920581634484"
4995,3073,"6160.781229589087"
4996,3851,"4247.444526246896"
4997,3851,"4266.357546727446"
4998,2207,"96.72994669709027"
4999,4182,"1820.1266490380992"
5000,2207,"101.60797922622804"
5001,4323,"877.7141875495689"
5002,2910,"570.3547010874184"
5003,3635,"2459.742949881134"
5004,3840,"970.4053719945553"
5005,3635,"2542.0160330673266"
5006,3003,"1812.6507599023107"
5007,3400,"2710.594506394531"
5008,3167,"1662.378959806314"
5009,3870,"48.59902282191679"
5010,3167,"1603.338478917646"
5011,3870,"44.86960609446864"
5012,3003,"841.5057738636959"
5013,3355,"2040.6364328221478"
5014,3649,"2683.4647411300684"
5015,3660,"3523.4577608081213"
5016,3676,"1219.7952836234147"
5017,3319,"1591.2172553110183"
5018,3025,"3309.219634484703"
5019,4004,"2410.7359433002425"
5020,3882,"2585.2194247881575"
5021,3882,"185.3974843727764"
5022,4034,"265.16701064342726"
5023,3749,"567.4091632557631"
5024,3832,"1111.1498382802179"
5025,3028,"41.3806571411632"
5026,3028,"0.5840496863425689"
5027,3028,"30.417702771545667"
5028,3028,"11.842097212613643"
5029,3028,"26.562714531037262"
5030,3028,"24.736516299203835"
5031,3025,"3143.730139718018"
5032,4182,"2017.2780158586174"
5033,3025,"120.18099061484061"
5034,4004,"891.3174931507003"
5035,4082,"325.0863465121481"
5036,3851,"4463.6657554452795"
5037,3851,"4457.951594927836"
5038,3851,"4577.532850763803"
5039,3851,"4557.761641611018"
5040,3851,"4553.305382816625"
5041,3851,"4555.900102079647"
5042,3851,"4562.088777998818"
5043,3851,"4607.277442161507"
5044,3851,"4537.151236564239"
5045,3851,"4603.291432643254"
5046,3851,"4596.3166497906695"
5047,3851,"4472.136722280517"
5048,3851,"4545.925957995247"
5049,3851,"4568.553914287481"
5050,3851,"4577.646727960367"
5051,3851,"4598.546314120288"
5052,3851,"4605.0656319157615"
5053,3851,"4606.447546740275"
5054,3851,"4684.994777704518"
5055,3851,"4621.3822732329745"
5333,3266,"438.6047956893362"
5056,3676,"1136.5377286575092"
5057,3559,"1645.78272383004"
5058,3235,"5698.835871223465"
5059,3918,"1787.9035707885466"
5060,3157,"1393.1864036134277"
5061,3157,"1286.4948365909663"
5062,3157,"1224.7138304813166"
5063,3157,"1234.420216453188"
5064,3157,"1340.3129594176667"
5065,3842,"24.67544433838486"
5066,3028,"52.971333148439555"
5067,3073,"2446.8983944536194"
5068,3567,"295.86804019900103"
5069,4004,"4116.61467220241"
5070,3235,"6097.054488320044"
5071,3028,"22.512260374472515"
5072,3073,"2507.7856963417753"
5073,3851,"4022.686352797704"
5074,3851,"4018.9660129380086"
5075,3851,"4028.2429539613468"
5076,3851,"4045.25846473812"
5077,3851,"4051.0550799461985"
5078,3851,"4063.461037456551"
5079,3851,"4038.6572600249915"
5080,3851,"4041.000676141485"
5081,3851,"4037.2158646006633"
5082,3851,"4040.65055140187"
5083,3851,"4890.917828004549"
5084,3851,"4879.436873346458"
5085,1967,"946.5088916432132"
5086,1967,"1184.032437479237"
5087,3851,"3705.4005413367877"
5088,3851,"3689.8575425228255"
5089,3851,"3933.0597206602774"
5090,3851,"3826.6708480511606"
5091,3851,"3744.4528743429905"
5092,3851,"3693.937247772418"
5093,3851,"3697.450356162103"
5094,3851,"3697.8018916783685"
5095,3851,"4378.606009414353"
5096,3851,"4375.589290063443"
5097,3851,"4364.895433944152"
5098,3851,"3769.5057484082945"
5099,3851,"4207.725715906154"
5100,3851,"4194.918292963251"
5101,3851,"4171.239294078771"
5102,3157,"1621.2731973794546"
5103,4004,"1029.8568407898083"
5104,3025,"3290.314583732172"
5105,3025,"3308.606343312423"
5106,3025,"3348.339869833417"
5107,3025,"3374.7606477674935"
5108,3025,"3429.1475514376752"
5109,3025,"3497.9597755285863"
5110,3025,"3508.2596972367755"
5111,3025,"3500.540936886533"
5112,3025,"3273.311337521144"
5113,3407,"905.9314640124978"
5114,3407,"1080.2332266614885"
5115,3407,"1083.5923212628093"
5116,3407,"1127.1428372402293"
5117,3407,"1150.112639240792"
5118,3407,"1185.6335307965617"
5119,3662,"765.1735063506447"
5120,3662,"1002.958481083847"
5121,4184,"636.256582020105"
5122,4184,"984.8275122073726"
5123,2945,"818.9569126011572"
5124,2945,"814.6740687963921"
5125,1967,"1303.1202837739784"
5126,4076,"435.3594509983693"
5127,3650,"1809.5369881560077"
5128,4182,"1884.0161913177985"
5129,3649,"2766.918170625841"
5130,3484,"3617.4421872503126"
5131,2207,"1961.5804436275803"
5132,3331,"887.0962212337001"
5133,2913,"2115.5930645956496"
5134,3331,"570.715481055213"
5135,3982,"4075.2086066465313"
5136,2945,"815.7555177052408"
5137,2945,"821.4004123749277"
5138,2945,"830.3552408805393"
5139,2945,"821.0233795018767"
5140,2945,"818.2270671350268"
5141,2945,"800.234148882595"
5142,2945,"792.1749693677556"
5143,2945,"836.7276184327854"
5144,2945,"889.4747727604876"
5145,2945,"1004.0161335815061"
5146,4184,"1331.2754877929065"
5147,4184,"1163.0484450290116"
5148,4184,"1125.1599901069599"
5149,4184,"1124.1723024680527"
5150,4184,"625.7746903668462"
5151,2945,"1249.1508149169588"
5152,2945,"1229.4301363458696"
5153,2945,"1199.4360272082956"
5154,3851,"151.54834813184368"
5155,3331,"648.3490905572875"
5156,3331,"626.9353274522068"
5157,3331,"627.4593827998013"
5158,3331,"616.1709105257743"
5159,3331,"607.7960539407818"
5160,3331,"586.2677150294865"
5161,3331,"611.0959252552393"
5162,3331,"593.0309430414273"
5163,3331,"576.9896257722212"
5164,3331,"594.4462941282183"
5165,3331,"561.7380470448378"
5166,3331,"561.8564150584342"
5167,3331,"530.7278621449015"
5168,3331,"529.1654573640228"
5169,3331,"508.97692158893324"
5170,3331,"498.4301258127148"
5171,3331,"520.1080205289962"
5172,3331,"493.9200821639542"
5173,3331,"493.05140455538117"
5174,3331,"467.13526544490855"
5175,3331,"441.2092237110233"
5176,3331,"791.0291755175936"
5177,3331,"784.526278426428"
5178,3331,"799.5474880916374"
5179,3331,"873.934138840051"
5180,3331,"895.9238109705183"
5181,3331,"867.3688842678563"
5182,3331,"862.6897505074138"
5183,3331,"932.8322557200256"
5184,3331,"960.5731133942652"
5185,3331,"922.3024984944176"
5186,3331,"923.778665431848"
5187,3331,"928.434910170464"
5188,3162,"566.7577800746332"
5189,2933,"562.2713577125966"
5190,2933,"582.1064967731297"
5191,2933,"659.4581529298036"
5192,2933,"710.7954101418021"
5193,2933,"810.8933478850585"
5194,2933,"858.6632598641659"
5195,2933,"874.5387084576507"
5196,2933,"866.7920800723122"
5197,2933,"962.0314782601685"
5198,2933,"1064.810409707343"
5199,2933,"1143.0657978631002"
5200,2933,"1207.0793269111348"
5201,3331,"901.2492058973759"
5202,3331,"918.9889822426858"
5203,3331,"905.7003941428969"
5204,3331,"908.9516241068221"
5205,3331,"919.380867338942"
5334,3851,"3808.420175315848"
5206,3331,"914.284501698533"
5207,3851,"4181.353221765456"
5208,3851,"4373.014342166187"
5209,3851,"4391.51334260709"
5210,3851,"4386.767330815656"
5211,3851,"4426.712550560908"
5212,2933,"575.0717551922355"
5213,2933,"631.0120561586936"
5214,2933,"655.7077856722481"
5215,2933,"653.5200659314411"
5216,4214,"596.8462429438019"
5217,3982,"4050.6510861893335"
5218,3494,"505.77381658412514"
5219,3493,"258.91966594942795"
5220,3499,"562.4750658627286"
5221,2933,"1223.8227104925843"
5222,2638,"1090.158332506082"
5223,2638,"1082.0539113070831"
5224,2638,"1113.4553368814397"
5225,3286,"286.79031843438275"
5226,3286,"302.1022900174626"
5227,3286,"297.29690072997573"
5228,3286,"302.6804358626704"
5229,3031,"314.55555696744136"
5230,3851,"2749.7731422036395"
5231,3851,"2744.7707145437366"
5232,3851,"2744.7731152629253"
5233,3851,"2731.6670277882704"
5234,3851,"2731.6670277882704"
5235,3851,"2719.453025645808"
5236,3851,"2711.6470646051275"
5237,3851,"3021.595717762238"
5238,3851,"3035.2117473062685"
5239,3289,"3198.24877475795"
5240,3493,"175.23346527542742"
5241,3989,"824.0314840508044"
5242,3291,"201.4092068316935"
5243,4356,"1021.637999323663"
5244,4356,"1028.1028199027728"
5245,3449,"1417.4947801281007"
5246,3331,"689.4408629487881"
5247,3162,"3658.3038866003744"
5248,3162,"3663.7058081957825"
5249,3162,"3796.6078724120794"
5250,3320,"4726.582938635439"
5251,3289,"5180.143515754898"
5252,4076,"3434.5081571323444"
5253,4090,"3051.73971674337"
5254,4090,"3185.3668279495355"
5255,4090,"3183.8629978459053"
5256,4090,"3174.252572234223"
5257,4090,"3179.7916915812993"
5258,4090,"3191.4380990418676"
5259,4090,"3195.059553856098"
5260,4090,"3210.1146262380184"
5261,4090,"3215.265754798902"
5262,4090,"3224.9753481740318"
5263,4090,"3216.662467650865"
5264,4090,"3239.575424996831"
5265,4090,"3248.6642897144693"
5266,4090,"3373.767557182047"
5267,4090,"3702.0258397633706"
5268,4090,"3707.947874271523"
5269,4090,"3725.938107099046"
5270,4090,"3728.0228846018294"
5271,4090,"3735.4045213996396"
5272,4090,"3735.0686168985526"
5273,4090,"3738.769279541093"
5274,4090,"3745.307361807117"
5275,4090,"3763.894409202073"
5276,4090,"3763.894409202073"
5277,4090,"3745.588365503761"
5278,4090,"3767.6643181894015"
5279,4090,"3772.3526297266644"
5280,4090,"3766.695194446705"
5281,4090,"3770.094683133724"
5282,4090,"3166.870705384726"
5283,4090,"3203.891015572283"
5284,4090,"3233.865992041447"
5285,4090,"3250.1157729686824"
5286,3094,"1992.534982769922"
5287,3407,"1189.6462782196822"
5288,3407,"3110.9742484707604"
5289,3409,"9136.975535922375"
5290,3073,"4907.388747844754"
5291,3028,"16.425284128237315"
5292,3851,"3785.1692054037603"
5293,3851,"3890.286647151757"
5294,3297,"1890.847135682994"
5295,3297,"1891.5812111394873"
5296,3297,"1767.4474822219574"
5297,3297,"1991.73715987465"
5298,3297,"1967.2736786649677"
5299,3297,"1933.4130718485687"
5300,3297,"1955.7436569078234"
5301,3297,"1905.2391900777593"
5302,3297,"1802.6787710704396"
5303,3297,"1800.9002074544862"
5304,3297,"1970.115775303302"
5305,3297,"1797.9125671944607"
5306,3297,"1993.3951262680732"
5307,3297,"1897.3644456905622"
5308,3874,"2593.9732306766614"
5309,3297,"49.36700941292871"
5310,3297,"48.69424667508236"
5311,3297,"145.87260000221664"
5312,3851,"3821.2112737356347"
5313,3851,"3820.302766685961"
5314,3851,"3782.668911937419"
5315,3851,"3822.2883164430323"
5316,3851,"3846.9632034679908"
5317,3851,"3923.0150353802655"
5318,3851,"3911.809422002695"
5319,3851,"3821.5745747039377"
5320,3851,"3834.2591301741086"
5321,3851,"3838.296074714593"
5322,3851,"3835.1157255774806"
5323,3851,"3851.155248247031"
5324,3851,"3832.80547783857"
5325,3851,"3860.6237568767174"
5326,3851,"3886.422538616324"
5327,3851,"3898.6947319898686"
5328,3851,"3841.1484169471482"
5329,3851,"3813.2106155565175"
5330,3851,"3830.3060955531637"
5331,4043,"1869.1629081844906"
5332,3297,"747.49986674111"
5335,3851,"3799.5789640048733"
5336,3851,"3847.834174150912"
5337,3851,"3804.357495539593"
5338,3851,"3801.952395819299"
5339,3851,"3796.9209922908603"
5340,3851,"3795.750765775885"
5341,3851,"3839.500634077938"
5342,3851,"3848.2743970803213"
5343,3851,"3845.5392639123447"
5344,3851,"3866.466706811928"
5345,3851,"3857.8727401149818"
5346,3851,"3879.3592173903903"
5347,3851,"3891.0292759901054"
5348,3851,"3838.6451353584566"
5349,3851,"3830.121973071197"
5350,3851,"3813.9076162775054"
5351,3851,"3810.8972837441306"
